N,TIMES,Execution Time (s)
25,64000000,26.6941979680
50,8000000,3.9713876720
75,2370370,3.5541072860
100,1000000,2.8799263730
125,512000,3.1879607400
150,296296,2.9730760810
175,186588,3.1138636990
200,125000,2.7424778360
225,87791,2.8115721460
250,64000,2.8181629240
275,48084,2.8555115380
300,37037,2.7629349270
325,29130,2.8144083930
350,23323,2.7949836140
375,18962,2.8373220920
400,15625,2.6813995800
425,13026,2.7410354860
450,10973,2.7352416470
475,9330,2.7754213390
500,8000,2.7277059750
525,6910,2.8284357590
550,6010,2.8424675950
575,5260,2.7812617060
600,4629,2.8011739540
625,4096,2.8565835080
650,3641,2.7945384910
675,3251,2.8144657490
700,2915,2.7753331610
725,2624,2.7878880300
750,2370,2.7647868710
775,2148,2.8091452200
800,1953,2.7725293280
825,1780,2.7846412970
850,1628,2.7944891980
875,1492,2.7795256280
900,1371,2.7793061800
925,1263,2.7633687330
950,1166,2.7989342920
975,1078,2.7590442530
1000,1000,2.7795273990
1025,928,2.8245810900
1050,863,2.7823630310
1075,804,2.8143188180
1100,751,2.7855858730
1125,702,2.7992679000
1150,657,2.7654896900
1175,616,2.8025329910
1200,578,2.7791481490
1225,543,2.8182806660
1250,512,2.8143353820
1275,482,2.7992327320
1300,455,2.8236888160
1325,429,2.7886889880
1350,406,2.8019945160
1375,384,2.7824404490
1400,364,2.8190504790
1425,345,2.8014021500
1450,328,2.8604768760
1475,311,2.7835588020
1500,296,2.8083895670
1525,281,2.8273788970
1550,268,2.8105115110
1575,255,2.8160386230
1600,244,2.7993664640
1625,233,2.8341853070
1650,222,2.8428645490
1675,212,2.8268343560
1700,203,2.8121738740
1725,194,2.8245615400
1750,186,2.8233938540
1775,178,2.8015151870
1800,171,2.8661620910
1825,164,2.8534258150
1850,157,2.8592480410
1875,151,2.8566957330
1900,145,2.8903536800
1925,140,2.8588484920
1950,134,2.8589994730
1975,129,2.8230947830
2000,125,2.8347640600
2025,120,2.8077352080
2050,116,2.9095051050
2075,111,2.8993898260
2100,107,2.8201302780
2125,104,2.8764514310
2150,100,2.8549045020
2175,97,2.9542540940
2200,93,2.8578566100
2225,90,2.8468253200
2250,87,2.9014181480
2275,84,2.8102849690
2300,82,2.8746838240
2325,79,2.9456845440
2350,77,2.8667725630
2375,74,2.9611920930
2400,72,2.8094372780
2425,70,2.8877726940
2450,67,2.8915447200
2475,65,2.8482768810
2500,64,2.9539498110
2513,63,2.9571154370
2527,62,3.0130232030
2540,61,3.0602981900
2554,60,2.8619153170
2569,59,2.8838358450
2583,58,2.9196404830
2598,57,2.9087261430
2614,56,2.9187561530
2630,55,2.9823682740
2646,54,2.8626880430
2662,53,2.9150439750
2679,52,2.9618224220
2697,51,3.0114290660
2714,50,3.0761279360
2733,49,3.1049718210
2752,48,2.8371731730
2771,47,2.8719725520
2791,46,2.9176911570
2811,45,2.9235713120
2833,44,2.9867209960
2854,43,3.0148986080
2877,42,2.9047898460
2900,41,2.9470700570
2924,40,2.9957870030
2949,39,3.0615823860
2974,38,3.1053326470
3001,37,3.1911624030
3029,36,2.8502627270
3057,35,2.9399500090
3087,34,2.9570719920
3118,33,2.8912545180
3150,32,2.9549005110
3183,31,3.0338312430
3218,30,2.8930960620
3255,29,2.9302565980
3293,28,3.0537310230
3333,27,3.1739504620
3376,26,3.2615048680
3420,25,3.3654141130
3467,24,2.8700130830
3516,23,2.9331874590
3569,22,2.9829338670
3625,21,2.9010036020
3684,20,3.0316399130
3748,19,3.1756932340
3816,18,2.9002981060
3889,17,3.0151752420
3969,16,3.2220297930
4055,15,3.3798273960
4149,14,3.6379750800
4253,13,3.8654329830
4368,12,2.8418933160
4496,11,2.9805972140
4642,10,3.0746992680
4807,9,2.9182339590
5000,8,3.2291656730
5228,7,3.6459002100
5503,6,3.0049784300
5848,5,3.4476292010
6300,4,4.3154630020
6934,3,5.5638776450
7937,2,8.2742949440
10000,1,16.4515733770
